year,predicted_champion,predicted_prob_pct,actual_champion,actual_champion_prob_pct,correct
2000,LAL,29.8,LAL,29.8,True
2001,LAL,32.2,LAL,32.2,True
2002,LAL,22.3,LAL,22.3,True
2003,ORL,23.0,SAS,8.8,False
2004,IND,20.1,DET,8.8,False
2005,MIA,40.8,SAS,4.5,False
2006,DET,34.5,MIA,17.1,False
2007,DET,31.2,SAS,8.1,False
2008,BOS,53.4,BOS,53.4,True
2009,CLE,52.9,LAL,24.1,False
2010,CLE,61.5,LAL,10.8,False
2011,CHI,31.5,DAL,2.9,False
2012,MIA,34.2,MIA,34.2,True
2013,MIA,78.1,MIA,78.1,True
2014,MIA,52.9,SAS,14.4,False
2015,ATL,33.1,GSW,24.6,False
2016,CLE,46.0,CLE,46.0,True
2017,BOS,48.4,GSW,10.8,False
2018,HOU,34.6,GSW,10.4,False
2019,MIL,46.6,TOR,6.5,False
2020,MIL,48.6,LAL,32.1,False
2021,PHI,30.4,MIL,18.9,False
2022,BOS,21.3,GSW,3.5,False
2023,BOS,27.8,DEN,21.3,False
2024,BOS,57.9,BOS,57.9,True
